title,description,severity
Stack overflow at xpcom_core.dll!nsAString_internal::Capacity(),Stack overflow at xpcom_core.dll!nsAString_internal::Capacity(),Critical
crash on loading PNG or JPEG image,crash on loading PNG or JPEG image,Critical
Crash [@ no stack] on reload with mtext and -moz-box-ordinal-group,Crash [@ no stack] on reload with mtext and -moz-box-ordinal-group,Critical
"Crash [@ nsInlineFrame::ReflowFrames] with ::first-letter float, binding, pre and //","Crash [@ nsInlineFrame::ReflowFrames] with ::first-letter float, binding, pre and //",Critical
PNG rendering problem with color management,PNG rendering problem with color management,Medium
Performance Regressions When Color Management is Turned On,Performance Regressions When Color Management is Turned On,Medium
Color Management Tracking Bug,Color Management Tracking Bug,Medium
Get rid of nsWindow::DefaultWindowProc,Get rid of nsWindow::DefaultWindowProc,Medium
Crash [@ nsStyleContext::Release] on reload with mathml element and menupopup,Crash [@ nsStyleContext::Release] on reload with mathml element and menupopup,Critical
Drop configure support for cairo-mac widget toolkit,Drop configure support for cairo-mac widget toolkit,Medium
"Crash [@ nsRuleNode::WalkRuleTree] with binding, mathml and ordinal attribute","Crash [@ nsRuleNode::WalkRuleTree] with binding, mathml and ordinal attribute",Critical
uninitialized local variable warning in xpcwrappedjsclass.cpp,uninitialized local variable warning in xpcwrappedjsclass.cpp,Medium
"Crash [@ GetChildListNameFor] with -moz-column, position:absolute","Crash [@ GetChildListNameFor] with -moz-column, position:absolute",Critical
innerHtml doesn't update DOM when Html markup goes from Invalid to Valid,innerHtml doesn't update DOM when Html markup goes from Invalid to Valid,High
worker threads can access Components.*,worker threads can access Components.*,Critical
"Workers: Timeout ids should start at 1, not 0","Workers: Timeout ids should start at 1, not 0",Medium
A11y hierarchy is broken on Ubuntu 8.10 (GNOME 2.24),A11y hierarchy is broken on Ubuntu 8.10 (GNOME 2.24),Critical
ideographic space should not count towards CSS 'word-spacing',ideographic space should not count towards CSS 'word-spacing',Medium
gfxAlphaBlur tries to blur outside the radius,gfxAlphaBlur tries to blur outside the radius,Medium
Display regression of carte.php on www.shinobi.fr,Display regression of carte.php on www.shinobi.fr,High
Painting of background image sometimes fails in Nautipolis theme,Painting of background image sometimes fails in Nautipolis theme,Medium
background-position is messed up (background-image is moved by a wrong distance),background-position is messed up (background-image is moved by a wrong distance),Medium
Don't BreakFromPrevFlow in nsContainerFrame::DeleteNextInFlowChild,Don't BreakFromPrevFlow in nsContainerFrame::DeleteNextInFlowChild,Medium
Nightly mac builds are over 285MB in size,Nightly mac builds are over 285MB in size,High
run-mozilla.sh should not md5sum core files,run-mozilla.sh should not md5sum core files,Medium
"@font-face: <length>'s specified in 'ex' unit are incorrect, using metrics from fallback font","@font-face: <length>'s specified in 'ex' unit are incorrect, using metrics from fallback font",Medium
Theora videos in Firefox have green tinge compared with same video in Safari/XiphQT or VLC,Theora videos in Firefox have green tinge compared with same video in Safari/XiphQT or VLC,Medium
"Crash [@ nsTimerImpl::Fire], apparently due to nsOggDecoder::Stop spinning event loop","Crash [@ nsTimerImpl::Fire], apparently due to nsOggDecoder::Stop spinning event loop",Critical
totalBytes attribute removed from r2405 of HTML5 spec,totalBytes attribute removed from r2405 of HTML5 spec,Medium
Ogg decoder makes no progress when seek requested once in completed state,Ogg decoder makes no progress when seek requested once in completed state,Medium
Minefield titlebar icons missing since Bug 467038,Minefield titlebar icons missing since Bug 467038,High
intl/uconv/tests/test_bug335816.html fails randomly,intl/uconv/tests/test_bug335816.html fails randomly,Medium
npruntime sample does not compile on linux (FALSE not declared),npruntime sample does not compile on linux (FALSE not declared),Medium
remove support for CFM plugins on Mac OS X,remove support for CFM plugins on Mac OS X,Medium
Directives not to cache pages ignored.,Directives not to cache pages ignored.,High
Crash [@ gfxMixedFontFamily::RemoveFontEntry] when closing tab in this,Crash [@ gfxMixedFontFamily::RemoveFontEntry] when closing tab in this,Critical
"remove support for ""main"" as a plugin initialization function","remove support for ""main"" as a plugin initialization function",Medium
Line breaking regression (in Chinese and other languages),Line breaking regression (in Chinese and other languages),Medium
Crash at every shutdown with completely blank stack trace,Crash at every shutdown with completely blank stack trace,Critical
Mac OS X nsPluginFile::GetPluginInfo leaks in some error cases,Mac OS X nsPluginFile::GetPluginInfo leaks in some error cases,Medium
Mac OS X plugins can't draw if they explicitly set windowless,Mac OS X plugins can't draw if they explicitly set windowless,Medium
Read barrier for cx->fp,Read barrier for cx->fp,Medium
"Image on page drawn in the wrong place, but is later drawn in correct place after selecting text","Image on page drawn in the wrong place, but is later drawn in correct place after selecting text",Medium
"Assertion failure: JSVAL_IS_NULL(vp[0]) || (!JSVAL_IS_PRIMITIVE(vp[0]) && OBJ_IS_ARRAY(cx, JSVAL_TO_OBJECT(vp[0])))","Assertion failure: JSVAL_IS_NULL(vp[0]) || (!JSVAL_IS_PRIMITIVE(vp[0]) && OBJ_IS_ARRAY(cx, JSVAL_TO_OBJECT(vp[0])))",Critical
Potential crash in nsOggDecoder::Load(),Potential crash in nsOggDecoder::Load(),Medium
SVG repaint leaves trailing junk,SVG repaint leaves trailing junk,Medium
###!!! ASSERTION: Incorrect event type for coordinate translation:,###!!! ASSERTION: Incorrect event type for coordinate translation:,Medium
nsRefPtrHashtable.h belongs to sdk and includes nsAutoPtr.h which does not,nsRefPtrHashtable.h belongs to sdk and includes nsAutoPtr.h which does not,Medium
Load() invoked to do seek in onended results in sending onloadedmetadata,Load() invoked to do seek in onended results in sending onloadedmetadata,Medium
Intermittent failure of video seek mochitests,Intermittent failure of video seek mochitests,Medium
Startup crash in nsViewManager::ProcessSynthMouseMoveEvent,Startup crash in nsViewManager::ProcessSynthMouseMoveEvent,Medium
make pointer from integer in g_object_set_data() calls,make pointer from integer in g_object_set_data() calls,Medium
"Crash [@ PlaceholderTxn::RedoTransaction] with redo, formatblock, DOMCharacterDataModified mutation listener","Crash [@ PlaceholderTxn::RedoTransaction] with redo, formatblock, DOMCharacterDataModified mutation listener",Critical
Crash if I attempt to access the Window > Zoom function with a Global Mac OS X Shortcut,Crash if I attempt to access the Window > Zoom function with a Global Mac OS X Shortcut,Critical
"""WARNING: sqlite3_close failed"" on shutdown due to cookies","""WARNING: sqlite3_close failed"" on shutdown due to cookies",Low
Assertions about image cache loading a page,Assertions about image cache loading a page,Medium
Disable support for printing in Qt,Disable support for printing in Qt,Medium
Exposed mouse event pressure,Exposed mouse event pressure,Medium
Leak imgRequest with <object> whose data attribute redirects to an image,Leak imgRequest with <object> whose data attribute redirects to an image,Medium
images reanimate after 10 seconds of being offscreen with image.animation_mode = once,images reanimate after 10 seconds of being offscreen with image.animation_mode = once,Medium
NewAPI: Add basic web navigation support to MozView,NewAPI: Add basic web navigation support to MozView,Medium
Disable Unicode collation on Mac more intelligently,Disable Unicode collation on Mac more intelligently,Medium
rdf:nodeID not working when node appears as object before as subject in RDF/XML source,rdf:nodeID not working when node appears as object before as subject in RDF/XML source,Medium
gcc complaing about comparing char* with string literal,gcc complaing about comparing char* with string literal,Medium
[10.5] Add roundness to context menus,[10.5] Add roundness to context menus,Low
JS build system defines AVMPLUS_IA32 for 64-bit OS X builds,JS build system defines AVMPLUS_IA32 for 64-bit OS X builds,Medium
upload.py should let UPLOAD_PORT and POST_UPLOAD_CMD actually be optional,upload.py should let UPLOAD_PORT and POST_UPLOAD_CMD actually be optional,Medium
Checkboxes being squashed horizontally on Mac,Checkboxes being squashed horizontally on Mac,Medium
JIT crashes jsMSX demo (again),JIT crashes jsMSX demo (again),Medium
"TM: non-DEBUG JS_JIT_SPEW doesn't build, again","TM: non-DEBUG JS_JIT_SPEW doesn't build, again",Medium
Drag and Drop PDF between windows does not work,Drag and Drop PDF between windows does not work,Medium
file:// iframes get the wrong principal after a reload,file:// iframes get the wrong principal after a reload,Medium
nsHTMLDNSPrefetch leak,nsHTMLDNSPrefetch leak,Low
"Crash [@ nsHTMLFramesetFrame::Reflow] with MathML msup, display:block","Crash [@ nsHTMLFramesetFrame::Reflow] with MathML msup, display:block",Critical
ecma/ExecutionContexts/10.2.2-1.js FAIL browser,ecma/ExecutionContexts/10.2.2-1.js FAIL browser,Medium
|./js -b| crashes,|./js -b| crashes,Medium
TM: Another crash with jit.content enabled [@ nanojit::Assembler::asm_store32],TM: Another crash with jit.content enabled [@ nanojit::Assembler::asm_store32],Critical
"""Assertion failed: frame entry -4 wasn't freed"" due to OOM while compiling regexp","""Assertion failed: frame entry -4 wasn't freed"" due to OOM while compiling regexp",Critical
Native regexps: case-insensitive comparison bug,Native regexps: case-insensitive comparison bug,Medium
"""Assertion failed: _allocator.active[FST0] && ..."" with lots of ""%=""","""Assertion failed: _allocator.active[FST0] && ..."" with lots of ""%=""",Medium
"SpiderMonkey confusion over ""-0"" and ""0"" properties of an object","SpiderMonkey confusion over ""-0"" and ""0"" properties of an object",Medium
PNG images/icons displayed uncorrectly (lot of violet color),PNG images/icons displayed uncorrectly (lot of violet color),Medium
Error with jit.content enabled,Error with jit.content enabled,Medium
Basic for loop slower with JIT enabled,Basic for loop slower with JIT enabled,Medium
"Assertion failed: ""need a way to EOT now, since this is trace end"" with array comprehension","Assertion failed: ""need a way to EOT now, since this is trace end"" with array comprehension",Critical
Math property flags regressed by bug 376957,Math property flags regressed by bug 376957,Medium
outparam analysis confused by nsCOMPtr<>.forget(T**),outparam analysis confused by nsCOMPtr<>.forget(T**),Medium
document.open should use the principal of the document whose URI it uses,document.open should use the principal of the document whose URI it uses,Medium
remove support for resource (.rsrc) files in Mac OS X plugins,remove support for resource (.rsrc) files in Mac OS X plugins,Medium
Firefox 3 onLoad event fireing before the page is fully loaded.,Firefox 3 onLoad event fireing before the page is fully loaded.,High
"""ASSERTION: Bad race happening"" (nsSpeculativeScriptThread::StartParsing)","""ASSERTION: Bad race happening"" (nsSpeculativeScriptThread::StartParsing)",Medium
"""Assertion failure: OBJ_IS_CLONED_BLOCK(obj)"" with string.replace, ""let""","""Assertion failure: OBJ_IS_CLONED_BLOCK(obj)"" with string.replace, ""let""",Critical
Minor redraw issue using stroke dash array,Minor redraw issue using stroke dash array,Low
Re-enable static analysis for js/src,Re-enable static analysis for js/src,Medium
TM: Rewrite ::cmp,TM: Rewrite ::cmp,Medium
"100% Crash with Adblock Plus 0.7.5.5 on specific URL [@ nanojit::LirBufWriter::insLink(nanojit::LOpcode, nanojit::LIns*) ]","100% Crash with Adblock Plus 0.7.5.5 on specific URL [@ nanojit::LirBufWriter::insLink(nanojit::LOpcode, nanojit::LIns*) ]",Critical
libosso.h and hildon-uri.h should be defined in system-headers list,libosso.h and hildon-uri.h should be defined in system-headers list,Medium
Geolocation MaemoLocationProvider.cpp compilation fail due missing includes,Geolocation MaemoLocationProvider.cpp compilation fail due missing includes,Medium
Building XRemoteCLient is broken on CHINOOK-ARMEL-2007 toolchain,Building XRemoteCLient is broken on CHINOOK-ARMEL-2007 toolchain,Medium
"""Assertion failure: we should have converted to numbers already"" with (null <= null)","""Assertion failure: we should have converted to numbers already"" with (null <= null)",Critical
"When running test_textattrs.html with all tests, background color for default attrs is wrong","When running test_textattrs.html with all tests, background color for default attrs is wrong",Medium
Playing a standalone .wav after it plays once through fails,Playing a standalone .wav after it plays once through fails,Medium
Slow performance on web page with malformed HTML and lots of links,Slow performance on web page with malformed HTML and lots of links,Medium
Remove unneeded code for blocks that are abs-pos containers for the viewport,Remove unneeded code for blocks that are abs-pos containers for the viewport,Medium
"""ASSERTION: Reframes of this letter frame will mess with the root of a native anonymous content subtree!"" loading 388709-1.html","""ASSERTION: Reframes of this letter frame will mess with the root of a native anonymous content subtree!"" loading 388709-1.html",Medium
Reftests for bug 466395 fail due to subpixel rendering issues,Reftests for bug 466395 fail due to subpixel rendering issues,Medium
"Crash [@ nsCSSFrameConstructor::FindFrameWithContent] with filter, -moz-appearance and moving body","Crash [@ nsCSSFrameConstructor::FindFrameWithContent] with filter, -moz-appearance and moving body",Critical
should have a pref to disable audio/video support,should have a pref to disable audio/video support,Medium
"""ASSERTION: stride mismatch""","""ASSERTION: stride mismatch""",Medium
nsStreamStrategy::~nsStreamStrategy triggers ptsynch.c lock assertions,nsStreamStrategy::~nsStreamStrategy triggers ptsynch.c lock assertions,Critical
Disable jemalloc page file support,Disable jemalloc page file support,Medium
Crash [@ nsSVGIntegrationUtils::GetInvalidAreaForChangedSource] with 2 filters and removing style,Crash [@ nsSVGIntegrationUtils::GetInvalidAreaForChangedSource] with 2 filters and removing style,Critical
"Crash [@ nsSVGEffects::AddRenderingObserver] with filter, position: inherit and removing element","Crash [@ nsSVGEffects::AddRenderingObserver] with filter, position: inherit and removing element",Critical
Crash [@ nsHTMLDocument::MatchAnchors] with XBL,Crash [@ nsHTMLDocument::MatchAnchors] with XBL,Critical
Setting src attribute of <img> element to an empty value doesn't hide the image,Setting src attribute of <img> element to an empty value doesn't hide the image,Medium
Pointing to a non-existing binding locally seems to leak,Pointing to a non-existing binding locally seems to leak,Medium
Crash [@ nsViewManager::CreateView] with ::first-line position: absolute and -moz-transform,Crash [@ nsViewManager::CreateView] with ::first-line position: absolute and -moz-transform,Critical
redesign mechanism for restricting properties from ::first-line and ::first-letter pseudo elements,redesign mechanism for restricting properties from ::first-line and ::first-letter pseudo elements,Medium
Patch for export macro usage in the Qt part of the new embedding API,Patch for export macro usage in the Qt part of the new embedding API,Medium
Clean up QMozApp class,Clean up QMozApp class,Medium
QMozView cleanup patch,QMozView cleanup patch,Medium
Remove nsIScriptContext::ReportPendingException,Remove nsIScriptContext::ReportPendingException,Medium
"""ASSERTION: Why are we being called with a pending exception?"" with img onload","""ASSERTION: Why are we being called with a pending exception?"" with img onload",Medium
Embedding fails to build for Gtk/X11 due to various minor typos,Embedding fails to build for Gtk/X11 due to various minor typos,Medium
Scrape some gunk off the config/ grout,Scrape some gunk off the config/ grout,Medium
"In Mac universal binary build, ppc/js/src/config/autoconf.mk does not define CROSS_COMPILE = 1","In Mac universal binary build, ppc/js/src/config/autoconf.mk does not define CROSS_COMPILE = 1",Medium
"Painting issues (smearing) with <select> dropdown, with background image, in iframe","Painting issues (smearing) with <select> dropdown, with background image, in iframe",Medium
"Inconsistent painting with <svg:marker>, dynamic overflow:visible","Inconsistent painting with <svg:marker>, dynamic overflow:visible",Medium
nsIDOMHTMLMediaElement's currentTime attribute is overridden by Windows macro,nsIDOMHTMLMediaElement's currentTime attribute is overridden by Windows macro,Medium
range.surroundContents throws a NS_ERROR_INVALID_POINTER (code works on FF 3.0),range.surroundContents throws a NS_ERROR_INVALID_POINTER (code works on FF 3.0),Medium
Crash [@ nsDocShell::DoChannelLoad] with DOMAttrModified removing window and editor and observes,Crash [@ nsDocShell::DoChannelLoad] with DOMAttrModified removing window and editor and observes,Critical
JS_SealObject crash if deep is true.,JS_SealObject crash if deep is true.,Critical
"""ASSERTION: Cached frame is incorrect!"" with filter in non-SVG content","""ASSERTION: Cached frame is incorrect!"" with filter in non-SVG content",Medium
Make nanojit build with VC7.1,Make nanojit build with VC7.1,Medium
"TM crash (GMail): JS_Assert (s=0x368d8f ""!JS_ON_TRACE(cx)"", file=0x3724c8 ""/Users/roc/mozilla-checkin/js/src/jsobj.cpp"", ln=3765)","TM crash (GMail): JS_Assert (s=0x368d8f ""!JS_ON_TRACE(cx)"", file=0x3724c8 ""/Users/roc/mozilla-checkin/js/src/jsobj.cpp"", ln=3765)",Medium
"Crash [@ BuildTextRunsScanner::FlushFrames(int, int)]","Crash [@ BuildTextRunsScanner::FlushFrames(int, int)]",High
Seeks after playback ended but before playback ended event are lost,Seeks after playback ended but before playback ended event are lost,Medium
Notch on text cursor when RTL languages are present on a page is misinterpreted as a polish problem,Notch on text cursor when RTL languages are present on a page is misinterpreted as a polish problem,Medium
Combobox steals mouse event after menu is closed w. kbd Alt+Up (<select size=1>),Combobox steals mouse event after menu is closed w. kbd Alt+Up (<select size=1>),Low
Seeking while seek in progress not handled correctly by Wave decoder,Seeking while seek in progress not handled correctly by Wave decoder,Medium
453406-1.html : missing |dump('\n');| at end,453406-1.html : missing |dump('\n');| at end,Medium
ended reports true when seeking after playback ended,ended reports true when seeking after playback ended,Medium
Infinite loop in oggplay_step_decoding(),Infinite loop in oggplay_step_decoding(),Medium
Crash [@ sa_stream_write],Crash [@ sa_stream_write],Critical
nsHTMLMediaElement::MetadataLoaded calls nsMediaDecoder::Seek(0),nsHTMLMediaElement::MetadataLoaded calls nsMediaDecoder::Seek(0),Medium
Crash [@ nsSVGFEDisplacementMapElement::Filter],Crash [@ nsSVGFEDisplacementMapElement::Filter],Critical
Network state and Ready state names in HTMLMediaElement are not as defined in spec,Network state and Ready state names in HTMLMediaElement are not as defined in spec,Medium
add comments specifying units for various cache capacities,add comments specifying units for various cache capacities,Medium
Crash [@ nsGlobalWindow::FindInternal] when doing find on a deleted window,Crash [@ nsGlobalWindow::FindInternal] when doing find on a deleted window,Critical
Crash [@ nsEventStateManager::GetNextTabbableMapArea] with img usemap and tabindex,Crash [@ nsEventStateManager::GetNextTabbableMapArea] with img usemap and tabindex,Critical
DOMOperationCallback can get a JSContext with no global object,DOMOperationCallback can get a JSContext with no global object,Medium
Problems building nsBidiKeyboard.cpp with MingW GCC,Problems building nsBidiKeyboard.cpp with MingW GCC,Medium
Potential crash in ~nsXBLAttributeEntry(),Potential crash in ~nsXBLAttributeEntry(),Medium
Initialize topLevelWidget in nsBaseWidget::GetTopLevelWidget,Initialize topLevelWidget in nsBaseWidget::GetTopLevelWidget,Medium
Flash and Java plugins don't work consistently with latest Minefield nightlies,Flash and Java plugins don't work consistently with latest Minefield nightlies,Medium
bzlib.c windows mobile does not support fileno,bzlib.c windows mobile does not support fileno,Medium
WinCE missing ExpandEnvironmentStringsW function,WinCE missing ExpandEnvironmentStringsW function,Medium
"_wfullpath implementation doesn't handle paths with ""../"" correctly","_wfullpath implementation doesn't handle paths with ""../"" correctly",Medium
Wrong context menu transparency,Wrong context menu transparency,Medium
TM: more math primitives need trace info,TM: more math primitives need trace info,Medium
<video> audio playback stops after some seconds with alsa backend playing via pulseaudio,<video> audio playback stops after some seconds with alsa backend playing via pulseaudio,Medium
Ogg and Wave specific mochitests should be hidden by appropriate build-time conditional,Ogg and Wave specific mochitests should be hidden by appropriate build-time conditional,Medium
Playing 8-bit Wave files can block writing to the audio backend,Playing 8-bit Wave files can block writing to the audio backend,Medium
Thunderbird just gets confused by nsComposerCmdLineHandler.js,Thunderbird just gets confused by nsComposerCmdLineHandler.js,Medium
test_wav_seek6.html intermittent test failure,test_wav_seek6.html intermittent test failure,Medium
Tinderbox: ERROR TEST-UNEXPECTED-FAIL | /tests/content/media/video/test/test_wav_trunc.html,Tinderbox: ERROR TEST-UNEXPECTED-FAIL | /tests/content/media/video/test/test_wav_trunc.html,Medium
Use smaller HITheme buttons where possible,Use smaller HITheme buttons where possible,Medium
IAccessibleText::caretOffset should return -1 if the system caret is not currently with in that particular object.,IAccessibleText::caretOffset should return -1 if the system caret is not currently with in that particular object.,Medium
"Destroy event target chain using a loop, not recursion","Destroy event target chain using a loop, not recursion",Low
Crash [@ inDOMUtils::GetParentForNode][@ nsINode::GetOwnerDoc] with passing null arguments in domutils functions,Crash [@ inDOMUtils::GetParentForNode][@ nsINode::GetOwnerDoc] with passing null arguments in domutils functions,Critical
common/webbrowserchrome cleanup patch,common/webbrowserchrome cleanup patch,Medium
Clean up embed.(h|cpp),Clean up embed.(h|cpp),Medium
contentlistener cleanup patch,contentlistener cleanup patch,Medium
embedding setup cleanup patch,embedding setup cleanup patch,Medium
Crash [@ inLayoutUtils::GetEventStateManagerFor] with calling getContentState in display: none iframe,Crash [@ inLayoutUtils::GetEventStateManagerFor] with calling getContentState in display: none iframe,Critical
Regression tests needed for plugins,Regression tests needed for plugins,Medium
"Images with empty alt attribute no longer get an empty accessible name, but return NULL instead.","Images with empty alt attribute no longer get an empty accessible name, but return NULL instead.",High
"""keyup"" event for Ctrl key not dispatched when focusing the Ctrl+Tab panel","""keyup"" event for Ctrl key not dispatched when focusing the Ctrl+Tab panel",Medium
js_ThreadDestructorCB doesn't get called for all threads,js_ThreadDestructorCB doesn't get called for all threads,Medium
Adobe Flash character map is incorrectly passing in + (plus sign) as the = (equal sign) keystroke.,Adobe Flash character map is incorrectly passing in + (plus sign) as the = (equal sign) keystroke.,High
"failed to build js with ""--enable-dtrace""","failed to build js with ""--enable-dtrace""",Medium
same images on page loaded every time separately,same images on page loaded every time separately,High
"Crash [@ InlineBackgroundData::GetContinuousRect] with XUL, rtl, background image","Crash [@ InlineBackgroundData::GetContinuousRect] with XUL, rtl, background image",Critical
jsstack.js errors in tracemonkey (JS_FORCES_STACK isn't working),jsstack.js errors in tracemonkey (JS_FORCES_STACK isn't working),Medium
"TM: ""Assertion failure: ATOM_IS_STRING(atom)""","TM: ""Assertion failure: ATOM_IS_STRING(atom)""",Critical
printing: bad kerning with some fonts,printing: bad kerning with some fonts,Medium
"AttributeChangedEvent not fired, or at least test is failing, with spell check mistakes on Linux","AttributeChangedEvent not fired, or at least test is failing, with spell check mistakes on Linux",Medium
SVG radialGradient won't be rendered correct when focus point is moved (outside the radius),SVG radialGradient won't be rendered correct when focus point is moved (outside the radius),Medium
Implement canPlayType,Implement canPlayType,Medium
Downloaded font activation on Mac may fail due to ATS cache corruption,Downloaded font activation on Mac may fail due to ATS cache corruption,Medium
Gtk/X11 configure.ac requires C++ compiler support,Gtk/X11 configure.ac requires C++ compiler support,Medium
License blocks for gtk/tests and qt/test source files,License blocks for gtk/tests and qt/test source files,Medium
"gtk/tests/Makefile.x11 requires license block, cleaning and build fixes","gtk/tests/Makefile.x11 requires license block, cleaning and build fixes",Medium
DOMEvent listener stub implementation for embedding,DOMEvent listener stub implementation for embedding,Medium
"When configuring mozilla with a relative path, make check fails in js/src","When configuring mozilla with a relative path, make check fails in js/src",Medium
Remove unused header from new embedding api on incubator.,Remove unused header from new embedding api on incubator.,Medium
Loading rheet.wav file from file: URL plays the file twice,Loading rheet.wav file from file: URL plays the file twice,Medium
Crash [@ JITted code] with this type-unstable loop,Crash [@ JITted code] with this type-unstable loop,Critical
"Can not customize the toolbar, if more than two windows are open (Firefox 3.1b2 + 3.1b3pre)","Can not customize the toolbar, if more than two windows are open (Firefox 3.1b2 + 3.1b3pre)",Medium
"Video is automatically scaled to fit inside its ""box"" while maintaining the aspect ratio.","Video is automatically scaled to fit inside its ""box"" while maintaining the aspect ratio.",Medium
bug 461735 not fixed in 1.8.1.19 on Win32,bug 461735 not fixed in 1.8.1.19 on Win32,Medium
"TM: ""Assertion failed: p->isQuad()"" with const-muddled for-each loop","TM: ""Assertion failed: p->isQuad()"" with const-muddled for-each loop",Critical
TM: Mathematical constants aren't,TM: Mathematical constants aren't,High
TM: new Number() behaves like a string during recording?,TM: new Number() behaves like a string during recording?,Medium
"TM: ""Assertion failure: !JS_ON_TRACE(cx)"" with toString","TM: ""Assertion failure: !JS_ON_TRACE(cx)"" with toString",Critical
Automatic semicolon insertion wrongly done after var with multi-line initializer,Automatic semicolon insertion wrongly done after var with multi-line initializer,Medium
TM: much slower than interpreter with short loop with |let|,TM: much slower than interpreter with short loop with |let|,Low
bidi.numerals == 4 does not switch numeric shapes in content,bidi.numerals == 4 does not switch numeric shapes in content,Medium
Changing bidi options no longer triggers reflow,Changing bidi options no longer triggers reflow,Medium
Update events sent too often to plugins on OS X.,Update events sent too often to plugins on OS X.,Medium
"View Source linkification triggers ""ASSERTION: Error: no token allocator""","View Source linkification triggers ""ASSERTION: Error: no token allocator""",Medium
Request for changing Plural Rule #12,Request for changing Plural Rule #12,Medium
Upgrade nsprpub to NSPR_HEAD_20081216 in mozilla-central.,Upgrade nsprpub to NSPR_HEAD_20081216 in mozilla-central.,Medium
TM: let-fun can modify consts,TM: let-fun can modify consts,Medium
"""Assertion failure: StackBase(fp) + blockDepth == regs.sp"" with |let|","""Assertion failure: StackBase(fp) + blockDepth == regs.sp"" with |let|",Critical
"Crash when typing in location bar, jit.chrome=true @ js_NewObjectWithGivenProto","Crash when typing in location bar, jit.chrome=true @ js_NewObjectWithGivenProto",Medium
[Cairo] Resize widget not redrawn when tab bar created by opening blank tab in background,[Cairo] Resize widget not redrawn when tab bar created by opening blank tab in background,Medium
Short flicker after activating window if the search bar is focused,Short flicker after activating window if the search bar is focused,Medium
TM: Crash [@ js_String_getelem],TM: Crash [@ js_String_getelem],Critical
Compiler warnings from landing of bug 441782,Compiler warnings from landing of bug 441782,Low
make clean fails in debug builds,make clean fails in debug builds,High
setlocale is not available on windows mobile,setlocale is not available on windows mobile,Medium
test_bug311681.xml runs no tests,test_bug311681.xml runs no tests,Medium
Reduce the effort needed to write C++ tests,Reduce the effort needed to write C++ tests,Medium
event.relatedTarget is not set for dragexit/dragleave events?,event.relatedTarget is not set for dragexit/dragleave events?,Medium
Crash [@ nsXBLPrototypeHandler::MouseEventMatched] dispatching mousedown UIEvent and xbl event handler,Crash [@ nsXBLPrototypeHandler::MouseEventMatched] dispatching mousedown UIEvent and xbl event handler,Critical
"""ASSERTION: Should be in an update while creating frames"" with stylesheet appended many times","""ASSERTION: Should be in an update while creating frames"" with stylesheet appended many times",Medium
Memory leak of document and content nodes with creating DOMMouseScroll event,Memory leak of document and content nodes with creating DOMMouseScroll event,Medium
Crash [@ nsContentUtils::ComparePosition] with binding,Crash [@ nsContentUtils::ComparePosition] with binding,Critical
Crash [@ DocumentViewerImpl::Close] with reloading,Crash [@ DocumentViewerImpl::Close] with reloading,Critical
Crash [@ little2_updatePosition] with xmlhttprequest and large xml file,Crash [@ little2_updatePosition] with xmlhttprequest and large xml file,Critical
XSS using a chrome XBL method and window.eval,XSS using a chrome XBL method and window.eval,Medium
"""ASSERTION: hmm? CanCallNow failed in XPCWrappedNative::CallMethod. We are finding out about this late!"" messing with __proto__, XPCNativeWrapper","""ASSERTION: hmm? CanCallNow failed in XPCWrappedNative::CallMethod. We are finding out about this late!"" messing with __proto__, XPCNativeWrapper",Medium
TM: Crash [@nanojit::LirBufWriter::insLinkToFar],TM: Crash [@nanojit::LirBufWriter::insLinkToFar],Medium
"""Assertion failed: ( int32_t(delta) == uint8_t(delta) )"" on amberjack.org","""Assertion failed: ( int32_t(delta) == uint8_t(delta) )"" on amberjack.org",Critical
nsComponentManagerImpl::HashContractID() reenters mMon,nsComponentManagerImpl::HashContractID() reenters mMon,Low
DOMNodeInsertedIntoDocument mistyped as *InfoDocument,DOMNodeInsertedIntoDocument mistyped as *InfoDocument,Medium
"Painting stops in this case, using -moz-transform: scale, rotate and video","Painting stops in this case, using -moz-transform: scale, rotate and video",Medium
wrong clipping when -moz-background-clip:padding is in effect and box has round corners,wrong clipping when -moz-background-clip:padding is in effect and box has round corners,Medium
"""ASSERTION: Inserting multiple children without flushing""","""ASSERTION: Inserting multiple children without flushing""",Medium
"Native-theme ""button-not-blank.html"" reftest is marked as failing due to a fixed bug","Native-theme ""button-not-blank.html"" reftest is marked as failing due to a fixed bug",Medium
"ASSERTION: ""Shallow unbind won't clear document and binding parent on kids!""  when opening ""about:sessionrestore""","ASSERTION: ""Shallow unbind won't clear document and binding parent on kids!""  when opening ""about:sessionrestore""",Medium
ASSERTION: Someone forgot to block scripts: 'aIsSafeToFlush == nsContentUtils::IsSafeToRunScript()',ASSERTION: Someone forgot to block scripts: 'aIsSafeToFlush == nsContentUtils::IsSafeToRunScript()',Medium
Cleanup the GTK nsFilePicker code,Cleanup the GTK nsFilePicker code,Medium
Crash [@ nsSVGUtils::GetRelativeRect],Crash [@ nsSVGUtils::GetRelativeRect],Critical
"rm mangle.c. no, not that mangle.c, the other mangle.c.","rm mangle.c. no, not that mangle.c, the other mangle.c.",Medium
[SeaMonkey] test_bug458898.html fails,[SeaMonkey] test_bug458898.html fails,Medium
